Cattle_ID,age,weight,feed,thi,temperature,humidity,predicted_yield,baseline_yield,predicted_decline_pct,alert_category,severity,recommendation
COW00000,21,627.0,31.0,56.42972298657915,30.69127027804523,95.0,22.014818402850057,21.507991539076894,-2.3564583557341128,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00001,95,492.0,14.6,78.33936858941598,46.98075037250034,74.75201771894194,20.71729067566509,20.727096279696077,0.047308141471762634,Heat Stress Alert,Medium,Moderate heat stress detected. Monitor cattle closely and provide ventilation and water access.
COW00002,82,481.7,31.7,46.47,25.0,95.0,20.522906467869014,20.0719267322348,-2.2468183630321645,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00003,59,586.8,29.0,33.73682835280735,18.0,81.57856535575989,21.549408325922464,21.29502010115756,-1.19459020727139,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00004,58,629.1,17.9,65.79413343617526,41.48912969934726,59.81303148726803,22.105045826997596,21.96940893667722,-0.6173898019347069,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00005,104,553.2,24.8,63.60125114396742,35.348467613916114,90.3286932561324,21.711295420093872,21.3429635729954,-1.725776487593831,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00006,21,447.1,28.4,72.0182004450684,39.17426991295978,98.0,19.20934427245072,18.67435723224171,-2.864821710089935,Heat Stress Alert,Medium,Moderate heat stress detected. Monitor cattle closely and provide ventilation and water access.
COW00007,87,441.2,19.7,45.611189348725254,25.604070153124695,77.89966598693042,20.141333821287425,19.932280835152206,-1.048816178460307,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00008,33,435.8,20.4,61.79649111835096,42.0,42.74090984909766,19.121403179242936,18.90924352843674,-1.121989097486312,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00009,22,408.6,25.3,57.13526483093179,34.5858125757141,64.73167588052007,18.38781518964619,18.10696323433894,-1.5510715500577537,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00010,68,558.8,16.6,56.42657966199938,38.155483051666145,40.0,21.22731241297873,21.151067877222175,-0.36047605822618184,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00011,117,640.0,16.1,47.02817183524624,26.00761351872719,84.61757452914843,22.801313963403175,22.596247911951966,-0.9075225774219858,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00012,91,548.9,18.5,41.758886292879566,23.395231482655028,73.84691677545234,21.43878299811353,21.25892878474508,-0.8460172908500917,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00013,94,369.2,27.3,61.011217625806815,33.309267214746754,95.0,19.482630411205207,19.03819440940896,-2.3344440771998904,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00014,89,534.7,20.6,71.88391961572894,43.226836653943536,72.51038517857852,21.23763228430618,21.006325101103513,-1.1011311216473336,Heat Stress Alert,Medium,Moderate heat stress detected. Monitor cattle closely and provide ventilation and water access.
COW00015,96,537.0,23.1,64.35697352804726,42.0,52.01802002915677,21.40044271936438,21.108758986980916,-1.3818137416953995,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00016,67,717.7,17.5,94.848,52.0,98.0,23.25426290936106,23.225325626279748,-0.12459365929651062,Health Risk Alert,Critical,"Critical heat stress or productivity decline detected. Consider emergency cooling, veterinary assessment, and hydration."
COW00017,25,433.4,17.5,49.85095298678779,31.906393287954057,45.27396492273613,18.85835163684642,18.811362393008753,-0.24979181654132498,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00018,102,518.7,25.7,44.216339884326,23.924085213923092,91.10661568318044,21.277301251101484,20.922499686435952,-1.6957895566156942,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00019,60,686.5,16.0,40.09646816647799,22.36654934815534,72.84494747148536,22.931485848008712,22.767342130668485,-0.7209612628393697,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00020,66,586.0,26.0,59.248,32.0,98.0,21.775455028964483,21.354893359404034,-1.9693925063561448,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00021,52,595.1,21.2,52.35867450301168,33.36884303597435,48.835872892531285,21.55367911859414,21.422674088464554,-0.6115251046092707,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00022,31,559.2,26.1,45.84412635764003,26.168476105146276,72.30626461315521,20.875855266579656,20.633028368038584,-1.1768844311638746,No Alert,Low,Conditions are within expected range; continue routine monitoring.
COW00023,112,576.4,20.9,60.36010975406069,33.07399415139791,93.71811028243393,22.054378169129293,21.7769093796801,-1.2741421870823375,No Alert,Low,Conditions are within expected range; continue routine monitoring.
